Location,SID,in_out,Timestamp,Program
MESA-MC,1057989,IN,2022-02-01 09:41:10,Other
MESA-MC,1057989,OUT,2022-02-01 10:58:07,Other
MESA-MC,1172305,IN,2022-02-01 11:20:28,Other
MESA-MC,1172305,IN,2022-02-02 09:07:13,Other
MESA-MC,1057989,IN,2022-02-02 09:44:18,Other
MESA-MC,1057989,OUT,2022-02-02 10:52:35,Other
MESA-MC,1043076,IN,2022-02-02 11:00:23,Other
MESA-MC,1172305,OUT,2022-02-02 11:59:22,Other
MESA-MC,1043076,OUT,2022-02-02 12:11:11,Other
MESA-MC,1174472,IN,2022-02-02 14:38:55,Other
MESA-MC,1057989,IN,2022-02-03 09:34:10,Other
MESA-MC,1057989,OUT,2022-02-03 10:43:39,Other
MESA-MC,1172305,IN,2022-02-03 12:57:11,Other
MESA-MC,1174160,IN,2022-02-03 12:58:00,Other
MESA-MC,1174472,IN,2022-02-03 14:18:52,Other
MESA-MC,1172305,OUT,2022-02-03 15:56:20,Other
MESA-MC,1174472,OUT,2022-02-03 16:02:41,Other
MESA-MC,1043076,IN,2022-02-07 08:58:19,Other
MESA-MC,1172305,IN,2022-02-08 12:32:03,Other
MESA-MC,1172305,OUT,2022-02-08 16:13:08,Other
MESA-MC,1172305,IN,2022-02-09 09:42:23,Other
MESA-MC,1172305,OUT,2022-02-09 12:03:09,Other
MESA-MC,1174160,IN,2022-02-10 13:33:43,Other
MESA-MC,1057989,IN,2022-02-14 09:29:29,Other
MESA-MC,1173758,IN,2022-02-14 10:33:24,Other
MESA-MC,1057989,OUT,2022-02-14 10:56:52,Other
MESA-MC,1243880,IN,2022-02-14 11:55:55,Other
MESA-MC,1057989,IN,2022-02-15 09:23:09,Other
MESA-MC,1057989,OUT,2022-02-15 11:01:21,Other
MESA-MC,1104749,IN,2022-02-15 11:35:09,Other
MESA-MC,1174472,IN,2022-02-15 12:44:40,Other
MESA-MC,1057989,IN,2022-02-15 13:45:04,Other
MESA-MC,1172305,IN,2022-02-15 14:40:53,Other
MESA-MC,1057989,OUT,2022-02-15 14:53:02,Other
MESA-MC,1172305,IN,2022-02-15 17:03:00,Other
MESA-MC,1172305,OUT,2022-02-15 17:03:06,Other
MESA-MC,1043076,IN,2022-02-16 08:49:46,Other
MESA-MC,1173758,IN,2022-02-16 10:31:00,Other
MESA-MC,1043076,OUT,2022-02-16 12:13:33,Other
MESA-MC,1173758,OUT,2022-02-16 12:19:26,Other
MESA-MC,1174472,IN,2022-02-16 13:22:17,Other
MESA-MC,1174472,OUT,2022-02-16 15:17:46,Other
MESA-MC,1242534,IN,2022-02-17 09:14:23,Other
MESA-MC,1174160,IN,2022-02-17 13:57:02,Other
MESA-MC,1043076,IN,2022-02-22 08:39:53,Other
MESA-MC,1057989,IN,2022-02-22 09:36:06,Other
MESA-MC,1174107,IN,2022-02-22 10:40:10,Other
MESA-MC,1043076,OUT,2022-02-22 10:41:37,Other
MESA-MC,1057989,OUT,2022-02-22 11:23:48,Other
MESA-MC,1174107,OUT,2022-02-22 12:25:16,Other
MESA-MC,1174472,IN,2022-02-22 12:26:12,Other
MESA-MC,1043076,IN,2022-02-23 11:06:47,Other
MESA-MC,1043076,OUT,2022-02-23 12:18:03,Other
MESA-MC,1057989,IN,2022-02-24 10:21:20,Other
MESA-MC,1057989,OUT,2022-02-24 11:45:43,Other
MESA-MC,1174160,IN,2022-02-24 14:05:17,Other
MESA-MC,1057989,IN,2022-02-28 09:28:45,Other
MESA-MC,1057989,OUT,2022-02-28 11:03:40,Other
