Location,SID,in_out,Timestamp,Program
LLRC,1057989,IN,3/7/2022 10:45,Math Lab: 540
LLRC,1243215,IN,3/7/2022 10:54,Math Lab: 540
LLRC,1057989,OUT,3/7/2022 12:04,Math Lab: 540
LLRC,1240147,IN,3/7/2022 12:15,Math Lab: 540
LLRC,1240147,OUT,3/7/2022 14:29,Math Lab: 540
LLRC,1112257,IN,3/7/2022 15:10,Math Lab: 540
LLRC,1112257,IN,3/7/2022 18:05,Math Lab: 540
LLRC,1243719,IN,3/8/2022 11:20,Math Lab: 540
LLRC,1243719,OUT,3/8/2022 12:26,Math Lab: 540
LLRC,1248323,IN,3/8/2022 12:29,Math Lab: 540
LLRC,1174499,IN,3/8/2022 12:46,Math Lab: 540
LLRC,1162967,IN,3/8/2022 13:33,Math Lab: 540
LLRC,1174499,OUT,3/8/2022 14:52,Math Lab: 540
LLRC,1248323,OUT,3/8/2022 15:17,Math Lab: 540
LLRC,1057989,IN,3/9/2022 10:30,Math Lab: 540
LLRC,1174472,IN,3/9/2022 11:31,Math Lab: 540
LLRC,1057989,OUT,3/9/2022 11:42,Math Lab: 540
LLRC,1243215,IN,3/9/2022 11:50,Math Lab: 540
LLRC,1240147,IN,3/9/2022 12:03,Math Lab: 540
LLRC,1043076,IN,3/9/2022 12:17,Math Lab: 540
LLRC,1240147,OUT,3/9/2022 12:21,Math Lab: 540
LLRC,1083710,IN,3/9/2022 12:48,Math Lab: 540
LLRC,1057989,IN,3/9/2022 13:12,Math Lab: 540
LLRC,1043076,OUT,3/9/2022 13:23,Math Lab: 540
LLRC,1083710,OUT,3/9/2022 13:25,Math Lab: 540
LLRC,1162967,IN,3/9/2022 13:29,Math Lab: 540
LLRC,1243880,IN,3/9/2022 13:35,Math Lab: 540
LLRC,1057989,OUT,3/9/2022 14:11,Math Lab: 540
LLRC,1243880,OUT,3/9/2022 14:13,Math Lab: 540
LLRC,1248323,IN,3/9/2022 15:23,Math Lab: 540
LLRC,1083710,IN,3/9/2022 15:59,Math Lab: 540
LLRC,1162967,OUT,3/9/2022 16:13,Math Lab: 540
LLRC,1248323,OUT,3/9/2022 16:53,Math Lab: 540
LLRC,1083710,OUT,3/9/2022 17:26,Math Lab: 540
LLRC,1057989,IN,3/10/2022 10:35,Math Lab: 540
LLRC,1243215,IN,3/10/2022 11:03,Math Lab: 540
LLRC,1243719,IN,3/10/2022 11:21,Math Lab: 540
LLRC,1057989,OUT,3/10/2022 11:47,Math Lab: 540
LLRC,1243719,OUT,3/10/2022 12:13,Math Lab: 540
LLRC,1243215,OUT,3/10/2022 12:16,Math Lab: 540
LLRC,1162967,IN,3/10/2022 14:49,Math Lab: 540
LLRC,1162967,OUT,3/10/2022 17:01,Math Lab: 540
LLRC,1174472,IN,3/14/2022 9:12,Math Lab: 540
LLRC,1057989,IN,3/14/2022 10:18,Math Lab: 540
LLRC,1057989,OUT,3/14/2022 11:23,Math Lab: 540
LLRC,1243719,IN,3/15/2022 10:32,Math Lab: 540
LLRC,1174499,IN,3/15/2022 10:52,Math Lab: 540
LLRC,1243719,OUT,3/15/2022 11:52,Math Lab: 540
LLRC,1248323,IN,3/15/2022 12:56,Math Lab: 540
LLRC,1174499,OUT,3/15/2022 13:03,Math Lab: 540
LLRC,1162967,IN,3/15/2022 14:05,Math Lab: 540
LLRC,1248323,OUT,3/15/2022 14:35,Math Lab: 540
LLRC,1043076,IN,3/15/2022 14:46,Math Lab: 540
LLRC,1043076,OUT,3/15/2022 16:00,Math Lab: 540
LLRC,1243215,IN,3/16/2022 9:59,Math Lab: 540
LLRC,1243719,IN,3/16/2022 10:13,Math Lab: 540
LLRC,1240147,IN,3/16/2022 10:42,Math Lab: 540
LLRC,1243215,OUT,3/16/2022 10:51,Math Lab: 540
LLRC,1162967,IN,3/16/2022 12:14,Math Lab: 540
LLRC,1112257,IN,3/16/2022 13:31,Math Lab: 540
LLRC,1112257,OUT,3/16/2022 16:18,Math Lab: 540
LLRC,1243719,IN,3/17/2022 10:34,Math Lab: 540
LLRC,1243719,OUT,3/17/2022 11:55,Math Lab: 540
LLRC,1248323,IN,3/17/2022 12:12,Math Lab: 540
LLRC,1248323,OUT,3/17/2022 13:11,Math Lab: 540
LLRC,1043076,IN,3/18/2022 11:06,Math Lab: 540
LLRC,1043076,OUT,3/18/2022 12:55,Math Lab: 540
LLRC,1240147,IN,3/18/2022 13:02,Math Lab: 540
LLRC,1240147,OUT,3/18/2022 13:41,Math Lab: 540
LLRC,1181256,IN,3/21/2022 9:05,Math Lab: 540
LLRC,1181256,OUT,3/21/2022 10:36,Math Lab: 540
LLRC,1043076,IN,3/21/2022 13:29,Math Lab: 540
LLRC,1043076,OUT,3/21/2022 14:57,Math Lab: 540
LLRC,1043076,IN,3/22/2022 8:57,Math Lab: 540
LLRC,1057989,IN,3/22/2022 9:38,Math Lab: 540
LLRC,1174499,IN,3/22/2022 11:04,Math Lab: 540
LLRC,1057989,OUT,3/22/2022 11:05,Math Lab: 540
LLRC,1043076,OUT,3/22/2022 13:39,Math Lab: 540
LLRC,1043076,IN,3/22/2022 14:29,Math Lab: 540
LLRC,1174499,OUT,3/22/2022 14:42,Math Lab: 540
LLRC,1043076,IN,3/23/2022 9:33,Math Lab: 540
LLRC,1243719,IN,3/23/2022 10:10,Math Lab: 540
LLRC,1057989,IN,3/23/2022 10:23,Math Lab: 540
LLRC,1057989,OUT,3/23/2022 11:22,Math Lab: 540
LLRC,1243719,OUT,3/23/2022 12:01,Math Lab: 540
LLRC,1043076,OUT,3/23/2022 12:04,Math Lab: 540
